DesignName,ParticipantID,TrialID,Block1,F,Z,Time,ErrorCount
Momote,61,5,1,Bottom,Normal,13.41919,0
Momote,62,5,2,Top,Close,15.23119,0
Momote,63,5,3,Back,Normal,6.44072,0
Momote,64,5,4,Left,Close,10.69592,0
Momote,65,5,5,Right,Normal,4.046768,0
Momote,66,5,6,Back,Close,7.665329,0
Momote,67,5,7,Bottom,Close,7.969788,0
Momote,68,5,8,Left,Normal,9.471527,0
Momote,69,5,9,Back,Far,8.586914,0
Momote,70,5,10,Top,Far,8.472153,0
Momote,71,5,11,Right,Close,3.934891,0
Momote,72,5,12,Right,Far,7.462891,0
Momote,73,5,13,Top,Normal,3.732483,0
Momote,74,5,14,Bottom,Far,10.89763,0
Momote,75,5,15,Left,Far,10.08096,0
