DesignName,ParticipantID,TrialID,Block1,F,Z,Time,ErrorCount
Momote,46,4,1,Bottom,Close,29.95759,0
Momote,47,4,2,Bottom,Far,11.90266,0
Momote,48,4,3,Back,Close,17.75423,0
Momote,49,4,4,Back,Far,8.877808,0
Momote,50,4,5,Right,Close,23.39888,0
Momote,51,4,6,Top,Far,5.739136,0
Momote,52,4,7,Right,Far,13.82538,0
Momote,53,4,8,Left,Close,11.81113,0
Momote,54,4,9,Back,Normal,6.656082,0
Momote,55,4,10,Top,Normal,4.134293,0
Momote,56,4,11,Left,Far,7.461105,0
Momote,57,4,12,Right,Normal,8.677887,0
Momote,58,4,13,Top,Close,5.848267,0
Momote,59,4,14,Bottom,Normal,9.472382,0
Momote,60,4,15,Left,Normal,4.449432,0
